SEQ_NBR,SEQ_SCHD_START_DT,FLEET,BASE,DIVISION,SPOILAGE,TOTAL_BLOCKED_HRS,TOTAL_SPOILED_HRS,SEQ_CAL_DAYS,SEQ_DUTY_DAYS,SEQ_TTL_FLTTIME,MIN_FLYTIME_PER_LEG,MAX_LEGS_PER_DAY,SEQ_TTL_LEGS,MORETHAN2_321_LEGS,IN_SEQ_DHD,LAYOVER,SEQ_PATTERN,SEQ_START,FLIGHT_PATTERN,SEQ_START_HRS,SF_LOAD_TMS,clean_time,local_time,utc_flight_time,weather_time,VIS_MILES,PRECIP_INCHES,IS_STORM,IS_RAIN,IS_SPOILED,START_HOUR
16611,2024-03-02,320,DFW,D ,NOT SPOILED,11.59,,2,2,11,63,3,6,0,0,13,DFW-MFE-DFW-OKC-DFW-PSP-DFW,Starts8:28,2161-2161-2434-2272-2673-2673,8,2025-11-06 21:57:37.430,8:28,2024-03-02 08:28:00,2024-03-02 14:28:00,2024-03-02 13:48:00,9.993753,0.0,0.0,0.0,0,8
19782,2024-03-02,737,DFW,I ,FULLY SPOILED,18.86,18.87,3,3,18,87,3,8,0,0,18,DFW-MBJ-MIA-KIN-MIA-IAH-DFW-TPA-DFW,Starts8:55,2865-2963-1082-1400-2541-1472-2512-2512,8,2025-11-06 21:57:37.430,8:55,2024-03-02 08:55:00,2024-03-02 14:55:00,2024-03-02 14:47:00,9.993753,0.0,0.0,0.0,1,8
21471,2024-03-02,737,MIA,I ,NOT SPOILED,11.88,,2,2,11,70,3,6,0,0,14,MIA-STI-MIA-SDQ-MIA-MCO-MIA,Starts10:30,1917-1917-1511-2836-2147-2147,10,2025-11-06 21:57:37.430,10:30,2024-03-02 10:30:00,2024-03-02 15:30:00,2024-03-02 15:00:00,9.936,0.0,0.0,0.0,0,10
471,2024-03-02,787,DFW,I ,NOT SPOILED,27.67,,3,2,27,750,1,2,0,0,25,DFW-ICN-DFW,Starts10:15,281-280,10,2025-11-06 21:57:37.430,10:15,2024-03-02 10:15:00,2024-03-02 16:15:00,2024-03-02 15:47:00,9.993753,0.0,0.0,0.0,0,10
19619,2024-03-02,737,DFW,I ,NOT SPOILED,6.97,,1,1,6,193,2,2,0,0,1,DFW-NAS-DFW,Starts10:25,1005-1005,10,2025-11-06 21:57:37.430,10:25,2024-03-02 10:25:00,2024-03-02 16:25:00,2024-03-02 15:47:00,9.993753,0.0,0.0,0.0,0,10
6584,2024-03-02,320,LAX,I ,FULLY SPOILED,5.16,5.17,1,1,5,149,2,2,0,0,1,LAX-SJD-LAX,Starts8:42,2656-2656,8,2025-11-06 21:57:37.430,8:42,2024-03-02 08:42:00,2024-03-02 16:42:00,2024-03-02 15:53:00,9.993753,0.0,0.0,0.0,1,8
19635,2024-03-02,737,DFW,I ,NOT SPOILED,7.11,,1,1,7,179,2,2,0,0,0,DFW-YYZ-DFW,Starts12:21,1111-1111,12,2025-11-06 21:57:37.430,12:21,2024-03-02 12:21:00,2024-03-02 18:21:00,2024-03-02 17:47:00,9.993753,0.0,0.0,0.0,0,12
9063,2024-03-02,320,PHX,I ,FULLY SPOILED,13.17,13.17,3,2,13,370,1,2,0,0,28,PHX-LIH-PHX,Starts12:5,684-673,12,2025-11-06 21:57:37.430,12:5,2024-03-02 12:05:00,2024-03-02 19:05:00,2024-03-02 18:53:00,9.993753,0.0,0.0,0.0,1,12
3898,2024-03-02,320,CLT,I ,FULLY SPOILED,10.8,10.8,2,2,10,62,3,6,0,0,14,CLT-SAT-CLT-ORF-CLT-CHS-CLT,Starts15:0,2380-2380-2708-2293-1586-1586,15,2025-11-06 21:57:37.430,15:0,2024-03-02 15:00:00,2024-03-02 20:00:00,2024-03-02 19:52:00,9.993753,0.0,0.0,0.0,1,15
3897,2024-03-02,320,CLT,I ,FULLY SPOILED,12.16,12.15,2,2,12,85,3,5,0,0,13,CLT-PHL-JAX-CLT-DEN-CLT,Starts15:0,1928-2940-772-1283-1283,15,2025-11-06 21:57:37.430,15:0,2024-03-02 15:00:00,2024-03-02 20:00:00,2024-03-02 19:52:00,9.993753,0.0,0.0,0.0,1,15
5613,2024-03-02,320,DCA,I ,FULLY SPOILED,11.97,11.97,2,2,11,99,3,5,0,0,16,DCA-FLL-DCA-BOS-ORD-DCA,Starts15:15,2943-2943-2120-2837-903,15,2025-11-06 21:57:37.430,15:15,2024-03-02 15:15:00,2024-03-02 20:15:00,2024-03-02 19:52:00,9.993753,0.0,0.0,0.0,1,15
117,2024-03-02,777,CLT,I ,NOT SPOILED,19.17,,3,2,19,525,1,2,0,0,25,CLT-MUC-CLT,Starts16:45,716-717,16,2025-11-06 21:57:37.430,16:45,2024-03-02 16:45:00,2024-03-02 21:45:00,2024-03-02 21:20:00,9.993753,0.0,0.0,0.0,0,16
114,2024-03-02,777,CLT,I ,NOT SPOILED,18.5,,3,2,18,510,1,2,0,0,26,CLT-FRA-CLT,Starts16:45,704-705,16,2025-11-06 21:57:37.430,16:45,2024-03-02 16:45:00,2024-03-02 21:45:00,2024-03-02 21:20:00,9.993753,0.0,0.0,0.0,0,16
6693,2024-03-02,320,LAX,I ,FULLY SPOILED,16.21,16.22,3,3,16,90,2,6,0,0,15,LAX-DFW-MCI-CLT-MSY-CLT-LAX,Starts15:0,1659-1036-2717-1943-1791-991,15,2025-11-06 21:57:37.430,15:0,2024-03-02 15:00:00,2024-03-02 23:00:00,2024-03-02 22:53:00,9.993753,0.0,0.0,0.0,1,15
1832,2024-03-02,787,PHL,I ,NOT SPOILED,18.0,,3,2,18,490,1,2,0,0,27,PHL-FCO-PHL,Starts18:50,718-719,18,2025-11-06 21:57:37.430,18:50,2024-03-02 18:50:00,2024-03-02 23:50:00,2024-03-02 23:49:00,1.998999,0.0,0.0,0.0,0,18
1835,2024-03-02,787,PHL,I ,NOT SPOILED,16.33,,3,2,16,425,1,2,0,0,25,PHL-ZRH-PHL,Starts19:10,92-93,19,2025-11-06 21:57:37.430,19:10,2024-03-02 19:10:00,2024-03-03 00:10:00,2024-03-03 00:00:00,1.9872,0.156,0.0,0.0,0,19
1649,2024-03-02,787,ORD,I ,NOT SPOILED,16.75,,3,2,16,470,1,2,0,0,24,ORD-LHR-ORD,Starts18:25,86-87,18,2025-11-06 21:57:37.430,18:25,2024-03-02 18:25:00,2024-03-03 00:25:00,2024-03-03 00:00:00,9.936,0.0,0.0,0.0,0,18
21511,2024-03-03,737,MIA,I ,NOT SPOILED,11.05,,2,2,11,71,3,5,0,0,14,MIA-DFW-PIT-MIA-NAS-MIA,Starts6:5,2962-2664-2313-2246-2246,6,2025-11-06 21:57:37.430,6:5,2024-03-03 06:05:00,2024-03-03 11:05:00,2024-03-03 10:53:00,9.993753,0.0,0.0,0.0,0,6
5619,2024-03-03,320,DCA,I ,NOT SPOILED,5.7,,1,1,5,159,2,2,0,0,1,DCA-NAS-DCA,Starts7:0,2631-2631,7,2025-11-06 21:57:37.430,7:0,2024-03-03 07:00:00,2024-03-03 12:00:00,2024-03-03 12:00:00,9.936,0.5343,0.0,0.0,0,7
19100,2024-03-03,737,CLT,I ,NOT SPOILED,11.11,,2,2,11,95,3,6,0,0,17,CLT-CLE-CLT-LGA-CLT-EWR-CLT,Starts7:10,1661-1661-2033-2089-1786-1786,7,2025-11-06 21:57:37.430,7:10,2024-03-03 07:10:00,2024-03-03 12:10:00,2024-03-03 12:00:00,0.0,0.0,0.0,0.0,0,7
19817,2024-03-03,737,DFW,I ,PARTIALLY SPOILED,18.99,7.18,3,3,19,110,3,7,0,0,22,DFW-ORD-CUN-MIA-DCA-MCO-DCA-DFW,Starts6:14,2382-492-2665-2648-2509-686-1158,6,2025-11-06 21:57:37.430,6:14,2024-03-03 06:14:00,2024-03-03 12:14:00,2024-03-03 11:55:00,9.993753,0.0,0.0,0.0,1,6
3927,2024-03-03,320,CLT,I ,NOT SPOILED,13.77,,2,2,13,106,3,5,0,0,16,CLT-DFW-MCO-CLT-MBJ-CLT,Starts7:15,1707-2145-609-875-875,7,2025-11-06 21:57:37.430,7:15,2024-03-03 07:15:00,2024-03-03 12:15:00,2024-03-03 12:00:00,0.0,0.0,0.0,0.0,0,7
27155,2024-03-03,737,ORD,D ,NOT SPOILED,16.65,,3,3,16,123,2,6,0,0,15,ORD-DFW-RNO-PHX-SAT-PHX-ORD,Starts6:25,574-2354-1741-2375-858-601,6,2025-11-06 21:57:37.430,6:25,2024-03-03 06:25:00,2024-03-03 12:25:00,2024-03-03 12:00:00,8.694,0.0,0.0,0.0,0,6
3934,2024-03-03,320,CLT,I ,FULLY SPOILED,10.54,10.55,2,2,10,65,3,6,0,0,16,CLT-CHS-CLT-MKE-CLT-FLL-CLT,Starts7:26,1731-1731-1757-827-1732-1732,7,2025-11-06 21:57:37.430,7:26,2024-03-03 07:26:00,2024-03-03 12:26:00,2024-03-03 12:00:00,0.0,0.0,0.0,0.0,1,7
26079,2024-03-03,737,LGA,D ,NOT SPOILED,10.51,,2,2,10,102,2,4,0,0,14,LGA-DFW-OMA-CLT-LGA,Starts7:30,1490-2269-1042-2033,7,2025-11-06 21:57:37.430,7:30,2024-03-03 07:30:00,2024-03-03 12:30:00,2024-03-03 12:00:00,9.936,1.3884,0.0,0.0,0,7
9181,2024-03-03,320,PHX,I ,FULLY SPOILED,10.56,10.55,2,2,10,80,3,5,0,0,19,PHX-DFW-SAT-PHX-MZT-PHX,Starts6:0,1655-1957-2053-2627-2627,6,2025-11-06 21:57:37.430,6:0,2024-03-03 06:00:00,2024-03-03 13:00:00,2024-03-03 12:51:00,9.993753,0.0,0.0,0.0,1,6
16684,2024-03-03,320,DFW,D ,NOT SPOILED,10.15,,2,2,10,107,3,4,0,0,12,DFW-FLL-DFW-BNA-DFW,Starts7:3,1429-1429-2244-2583,7,2025-11-06 21:57:37.430,7:3,2024-03-03 07:03:00,2024-03-03 13:03:00,2024-03-03 12:47:00,9.993753,0.0,0.0,0.0,0,7
19822,2024-03-03,737,DFW,I ,FULLY SPOILED,16.08,16.07,3,3,16,73,3,6,0,0,19,DFW-JAX-ORD-SAT-DFW-SNA-DFW,Starts7:14,1061-1040-2367-2342-2114-2114,7,2025-11-06 21:57:37.430,7:14,2024-03-03 07:14:00,2024-03-03 13:14:00,2024-03-03 12:47:00,9.993753,0.0,0.0,0.0,1,7
24017,2024-03-03,737,DCA,D ,NOT SPOILED,4.65,,1,1,4,134,2,2,0,0,1,DCA-MCO-DCA,Starts8:16,2128-2128,8,2025-11-06 21:57:37.430,8:16,2024-03-03 08:16:00,2024-03-03 13:16:00,2024-03-03 12:52:00,8.994564,0.0,0.0,0.0,0,8
8330,2024-03-03,320,PHL,I ,FULLY SPOILED,11.08,11.08,2,2,11,88,3,6,0,0,12,PHL-CHS-PHL-DTW-PHL-IND-PHL,Starts8:25,1526-1526-2990-1456-1446-1446,8,2025-11-06 21:57:37.430,8:25,2024-03-03 08:25:00,2024-03-03 13:25:00,2024-03-03 12:54:00,9.993753,0.0,0.0,0.0,1,8
19823,2024-03-03,737,DFW,I ,NOT SPOILED,16.53,,3,3,16,70,3,6,0,0,20,DFW-PHL-ORD-AUS-DFW-FAT-DFW,Starts7:25,415-2095-1568-579-1828-1828,7,2025-11-06 21:57:37.430,7:25,2024-03-03 07:25:00,2024-03-03 13:25:00,2024-03-03 12:47:00,9.993753,0.0,0.0,0.0,0,7
21236,2024-03-03,737,MIA,I ,FULLY SPOILED,6.75,6.75,1,1,6,185,2,2,0,0,1,MIA-MEX-MIA,Starts8:40,2416-2415,8,2025-11-06 21:57:37.430,8:40,2024-03-03 08:40:00,2024-03-03 13:40:00,2024-03-03 12:53:00,9.993753,0.0,0.0,0.0,1,8
19020,2024-03-03,737,CLT,I ,FULLY SPOILED,6.8,6.8,1,1,6,198,2,2,0,0,1,CLT-BZE-CLT,Starts9:5,1075-1078,9,2025-11-06 21:57:37.430,9:5,2024-03-03 09:05:00,2024-03-03 14:05:00,2024-03-03 13:52:00,0.0,0.0,0.0,0.0,1,9
3949,2024-03-03,320,CLT,I ,NOT SPOILED,10.43,,2,2,10,77,3,5,0,0,12,CLT-CUN-CLT-PIT-PHL-CLT,Starts9:10,1262-2175-1749-999-2879,9,2025-11-06 21:57:37.430,9:10,2024-03-03 09:10:00,2024-03-03 14:10:00,2024-03-03 13:52:00,0.0,0.0,0.0,0.0,0,9
16689,2024-03-03,320,DFW,D ,FULLY SPOILED,10.23,10.23,2,2,10,130,3,4,0,0,20,DFW-TUS-DFW-MCO-DFW,Starts8:15,2720-1025-2143-2143,8,2025-11-06 21:57:37.430,8:15,2024-03-03 08:15:00,2024-03-03 14:15:00,2024-03-03 13:47:00,9.993753,0.0,0.0,0.0,1,8
27164,2024-03-03,737,ORD,D ,NOT SPOILED,10.95,,2,2,10,58,3,4,0,0,19,ORD-LAX-ORD-IND-ORD,Starts8:20,2012-1598-1824-1824,8,2025-11-06 21:57:37.430,8:20,2024-03-03 08:20:00,2024-03-03 14:20:00,2024-03-03 13:51:00,8.994564,0.0,0.0,0.0,0,8
19829,2024-03-03,737,DFW,I ,NOT SPOILED,6.35,,1,1,6,171,2,2,0,0,0,DFW-ONT-DFW,Starts8:33,1820-1820,8,2025-11-06 21:57:37.430,8:33,2024-03-03 08:33:00,2024-03-03 14:33:00,2024-03-03 13:47:00,9.993753,0.0,0.0,0.0,0,8
19830,2024-03-03,737,DFW,I ,NOT SPOILED,11.35,,2,2,11,153,3,4,0,0,20,DFW-MEX-DFW-DTW-DFW,Starts8:40,389-390-2508-1339,8,2025-11-06 21:57:37.430,8:40,2024-03-03 08:40:00,2024-03-03 14:40:00,2024-03-03 13:47:00,9.993753,0.0,0.0,0.0,0,8
471,2024-03-03,787,DFW,I ,NOT SPOILED,27.67,,3,2,27,750,1,2,0,0,25,DFW-ICN-DFW,Starts10:15,281-280,10,2025-11-06 21:57:37.430,10:15,2024-03-03 10:15:00,2024-03-03 16:15:00,2024-03-03 15:48:00,9.993753,0.0,0.0,0.0,0,10
6584,2024-03-03,320,LAX,I ,NOT SPOILED,5.16,,1,1,5,149,2,2,0,0,1,LAX-SJD-LAX,Starts8:42,2656-2656,8,2025-11-06 21:57:37.430,8:42,2024-03-03 08:42:00,2024-03-03 16:42:00,2024-03-03 15:53:00,9.993753,0.0,0.0,0.0,0,8
8344,2024-03-03,320,PHL,I ,FULLY SPOILED,10.36,10.35,2,2,10,85,3,4,0,0,16,PHL-MIA-DFW-MSY-PHL,Starts13:51,1164-2828-1455-1460,13,2025-11-06 21:57:37.430,13:51,2024-03-03 13:51:00,2024-03-03 18:51:00,2024-03-03 18:00:00,9.936,0.0,0.0,0.0,1,13
8345,2024-03-03,320,PHL,I ,NOT SPOILED,11.11,,2,2,11,79,3,6,0,0,13,PHL-BOS-PHL-JAX-CLT-PBI-PHL,Starts14:5,1432-1432-2940-772-1833-2489,14,2025-11-06 21:57:37.430,14:5,2024-03-03 14:05:00,2024-03-03 19:05:00,2024-03-03 18:54:00,9.993753,0.0,0.0,0.0,0,14
19846,2024-03-03,737,DFW,I ,PARTIALLY SPOILED,11.05,1.15,2,2,11,69,3,6,0,0,14,DFW-MEX-DFW-AUS-DFW-MSY-DFW,Starts13:15,2350-2351-455-2198-2291-2291,13,2025-11-06 21:57:37.430,13:15,2024-03-03 13:15:00,2024-03-03 19:15:00,2024-03-03 18:49:00,9.993753,0.0,0.0,0.0,1,13
476,2024-03-03,787,DFW,I ,NOT SPOILED,25.25,,3,2,25,690,1,2,0,0,22,DFW-HND-DFW,Starts13:40,175-176,13,2025-11-06 21:57:37.430,13:40,2024-03-03 13:40:00,2024-03-03 19:40:00,2024-03-03 18:49:00,9.993753,0.0,0.0,0.0,0,13
19667,2024-03-03,737,DFW,I ,NOT SPOILED,16.06,,3,3,16,77,3,6,0,0,19,DFW-PVR-DFW-SAT-PHX-JAX-DFW,Starts14:36,1093-1093-1217-2375-2844-1270,14,2025-11-06 21:57:37.430,14:36,2024-03-03 14:36:00,2024-03-03 20:36:00,2024-03-03 19:48:00,9.993753,0.0,0.0,0.0,0,14
493,2024-03-03,787,DFW,I ,NOT SPOILED,18.07,,3,2,18,489,1,2,0,0,32,DFW-DUB-DFW,Starts14:56,132-133,14,2025-11-06 21:57:37.430,14:56,2024-03-03 14:56:00,2024-03-03 20:56:00,2024-03-03 20:51:00,9.993753,0.0,0.0,0.0,0,14
26085,2024-03-03,737,LGA,D ,NOT SPOILED,15.77,,3,3,15,96,2,6,0,0,16,LGA-DFW-CVG-DFW-MFE-DFW-LGA,Starts15:59,1608-799-2345-1538-2162-2513,15,2025-11-06 21:57:37.430,15:59,2024-03-03 15:59:00,2024-03-03 20:59:00,2024-03-03 20:51:00,9.993753,0.0,0.0,0.0,0,15
21542,2024-03-03,737,MIA,I ,NOT SPOILED,10.25,,2,2,10,75,3,5,0,0,13,MIA-MCO-DCA-MIA-ATL-MIA,Starts17:0,1700-589-1627-1237-1237,17,2025-11-06 21:57:37.430,17:0,2024-03-03 17:00:00,2024-03-03 22:00:00,2024-03-03 21:53:00,9.993753,0.0,0.0,0.0,0,17
261,2024-03-03,777,DFW,I ,NOT SPOILED,19.58,,3,2,19,540,1,2,0,0,24,DFW-LHR-DFW,Starts16:20,50-51,16,2025-11-06 21:57:37.430,16:20,2024-03-03 16:20:00,2024-03-03 22:20:00,2024-03-03 21:46:00,9.993753,0.0,0.0,0.0,0,16
497,2024-03-03,787,DFW,I ,NOT SPOILED,20.59,,3,2,20,565,1,2,0,0,25,DFW-FRA-DFW,Starts16:25,70-71,16,2025-11-06 21:57:37.430,16:25,2024-03-03 16:25:00,2024-03-03 22:25:00,2024-03-03 21:46:00,9.993753,0.0,0.0,0.0,0,16
26088,2024-03-03,737,LGA,D ,FULLY SPOILED,15.98,15.98,3,3,15,106,2,6,0,0,14,LGA-DFW-ABQ-DFW-SDF-DFW-LGA,Starts18:0,1473-2564-1230-333-1321-1011,18,2025-11-06 21:57:37.430,18:0,2024-03-03 18:00:00,2024-03-03 23:00:00,2024-03-03 22:51:00,9.993753,0.0,0.0,0.0,1,18
500,2024-03-03,787,DFW,I ,FULLY SPOILED,22.25,22.25,3,2,22,600,1,2,0,0,22,DFW-FCO-DFW,Starts18:20,240-239,18,2025-11-06 21:57:37.430,18:20,2024-03-03 18:20:00,2024-03-04 00:20:00,2024-03-03 23:50:00,9.993753,0.0,0.0,0.0,1,18
270,2024-03-03,777,DFW,I ,NOT SPOILED,19.58,,3,2,19,540,1,2,0,0,25,DFW-LHR-DFW,Starts21:5,78-21,21,2025-11-06 21:57:37.430,21:5,2024-03-03 21:05:00,2024-03-04 03:05:00,2024-03-04 02:55:00,9.993753,0.0,0.0,0.0,0,21
721,2024-03-03,777,LAX,I ,NOT SPOILED,29.83,,4,2,29,845,1,2,0,0,25,LAX-SYD-LAX,Starts22:15,73-72,22,2025-11-06 21:57:37.430,22:15,2024-03-03 22:15:00,2024-03-04 06:15:00,2024-03-04 06:00:00,9.936,0.0,0.0,0.0,0,22
21553,2024-03-04,737,MIA,I ,NOT SPOILED,11.01,,2,2,11,68,3,5,0,0,14,MIA-DFW-RIC-MIA-NAS-MIA,Starts6:5,2962-2348-604-2246-2246,6,2025-11-06 21:57:37.430,6:5,2024-03-04 06:05:00,2024-03-04 11:05:00,2024-03-04 10:53:00,9.993753,0.0,0.0,0.0,0,6
7438,2024-03-04,320,MIA,I ,NOT SPOILED,10.31,,2,2,10,145,3,4,0,0,22,PBI-PHL-MCO-PHL-PBI,Starts7:0,2944-1684-1684-812,7,2025-11-06 21:57:37.430,7:0,2024-03-04 07:00:00,2024-03-04 12:00:00,2024-03-04 12:00:00,9.936,0.1989,0.0,0.0,0,7
19002,2024-03-04,737,CLT,I ,NOT SPOILED,11.14,,2,2,11,81,3,4,0,0,24,CLT-BWI-CLT-AUA-CLT,Starts7:10,1227-1227-1346-1346,7,2025-11-06 21:57:37.430,7:10,2024-03-04 07:10:00,2024-03-04 12:10:00,2024-03-04 12:00:00,5.589,0.0,0.0,0.0,0,7
3991,2024-03-04,320,CLT,I ,FULLY SPOILED,15.0,15.0,3,3,15,55,3,8,0,1,16,CLT-BDL-CLT-ALB-CLT-ILM-CLT-PVD-CLT,Starts7:16,2838-2838-1857-440-1582-2493-1953-1953,7,2025-11-06 21:57:37.430,7:16,2024-03-04 07:16:00,2024-03-04 12:16:00,2024-03-04 12:00:00,5.589,0.0,0.0,0.0,1,7
27186,2024-03-04,737,ORD,D ,PARTIALLY SPOILED,16.35,7.37,3,3,16,176,2,5,0,0,16,ORD-MIA-EWR-ORD-TUS-ORD,Starts6:59,1411-2933-1432-2537-1617,6,2025-11-06 21:57:37.430,6:59,2024-03-04 06:59:00,2024-03-04 12:59:00,2024-03-04 12:51:00,9.993753,0.0,0.0,0.0,1,6
23071,2024-03-04,737,BOS,D ,NOT SPOILED,12.36,,2,2,12,123,2,4,0,0,12,BOS-MIA-STL-DFW-BOS,Starts8:0,1259-1569-537-1401,8,2025-11-06 21:57:37.430,8:0,2024-03-04 08:00:00,2024-03-04 13:00:00,2024-03-04 12:54:00,9.993753,0.0,0.0,0.0,0,8
19873,2024-03-04,737,DFW,I ,NOT SPOILED,9.54,,2,2,9,69,3,6,0,0,15,DFW-MCI-DFW-ABQ-DFW-AUS-DFW,Starts7:10,2107-2107-1230-2335-2931-615,7,2025-11-06 21:57:37.430,7:10,2024-03-04 07:10:00,2024-03-04 13:10:00,2024-03-04 12:46:00,6.995565,0.0,0.0,0.0,0,7
19872,2024-03-04,737,DFW,I ,NOT SPOILED,15.98,,3,3,15,73,3,7,0,0,16,DFW-SAT-DFW-RNO-PHX-SAT-ORD-DFW,Starts7:10,2028-2028-2354-1741-2375-632-1109,7,2025-11-06 21:57:37.430,7:10,2024-03-04 07:10:00,2024-03-04 13:10:00,2024-03-04 12:46:00,6.995565,0.0,0.0,0.0,0,7
24017,2024-03-04,737,DCA,D ,NOT SPOILED,4.65,,1,1,4,134,2,2,0,0,1,DCA-MCO-DCA,Starts8:16,2128-2128,8,2025-11-06 21:57:37.430,8:16,2024-03-04 08:16:00,2024-03-04 13:16:00,2024-03-04 12:52:00,9.993753,0.0,0.0,0.0,0,8
19877,2024-03-04,737,DFW,I ,NOT SPOILED,11.24,,3,3,11,73,3,6,0,0,19,DFW-MSY-DFW-JAX-DFW-IAH-DFW,Starts7:18,2600-468-1725-2789-1472-1472,7,2025-11-06 21:57:37.430,7:18,2024-03-04 07:18:00,2024-03-04 13:18:00,2024-03-04 12:46:00,6.995565,0.0,0.0,0.0,0,7
